domain,chapter,daikoumoku,chukoumoku,shoukoumoku,remarks,keywords,id
必修の基本的事項,1 医の倫理と歯科医師のプロフェッショナリズム,ア 医の倫理,a 患者の人権と医療,,,原則;摂食;イオンチャネル;アプローチ;吸啜;index;受容体;リハビリテーション;プロービング;活動;開催;液体;習慣;睡眠;収縮;医療倫理;麻痺;摂食嚥下;エネルギー;嚥下;緊張;脳性麻痺;mini;プラークコントロールレコード;電位;とろみ;患者の人権;自律;睡眠時無呼吸症候群;尊重;実践;開口反射;反射,0
必修の基本的事項,1 医の倫理と歯科医師のプロフェッショナリズム,ア 医の倫理,b 医療者の倫理 (ニュルンベルグ綱領、ジュネーブ宣言など),,,アタ;アタッチメント;アルマ;アンピシリン;エピネフリン;オタワ;ガドリニウム;コホート研究;シドニー;ジュネーブ宣言;ニュルンベルグ;ニュルンベルグ綱領;ニュールンベルグ;ヒポクラテスの誓い;ヘルシンキ;ヨード;ランダム化比較試験;リスボン;介入;倫理;前向き;医学;医師;医療者の倫理;奉仕;宣言;対象;提言;症例対照研究;研究;綱領;被験者;調査;謳っ,1
必修の基本的事項,1 医の倫理と歯科医師のプロフェッショナリズム,イ 歯科医師と患者・家族との関係,a 患者中心の歯科医療 (インフォームド・コンセント、セカンドオピニオンなど),,,1歳;か月;でき;インフォームド;インフォームド・コンセント;コンセント;セカンドオピニオン;ホワイトポイント;偽陽性;制度;勧める;医療;医療事故;医療訴訟;危機管理;喫煙;回避;変更;定型発達;実践;対策;患者中心の歯科医療;意思決定;推奨;撤回;歯科医師;決定;特異度;生後;疾病;磨き;禁煙;給付;自己決定権;被曝;診断書;質問;防止;面接,2
必修の基本的事項,1 医の倫理と歯科医師のプロフェッショナリズム,イ 歯科医師と患者・家族との関係,b 患者の権利,,,ニュールンベルグ;占める;やすく;倫理;アルマ;超え;遵守;一般廃棄物;ノーマライゼーション;チーム医療;人口;権利;食中毒;診療所;我が国;宣言;推移;近年;kg;憲章;医師;日本;診療;シドニー;年次;入院;医療費;65歳;全体;綱領;患者の権利;所得;老年;国民;割合;指数;予防接種;オタワ;擁護;アタ,3
必修の基本的事項,2 社会と歯科医療,ア 患者・障害者のもつ心理社会的問題と背景,a 疾病・障害の概念・構造(社会的関わり),,,形成;雑音;復位;咀嚼;運動;疾病;collins;構音障害;腫脹;最大;関節炎;審美;閉口;転位;義歯;骨折;顎関節症;開口;treacher;異常;嚥下;円板;運動障害;症候群;関節;味覚障害;障害;顎関節;閉鎖;訓練,4
必修の基本的事項,2 社会と歯科医療,ア 患者・障害者のもつ心理社会的問題と背景,b リハビリテーションの理念,,,ベベル;リハビリテーションの理念,5
必修の基本的事項,2 社会と歯科医療,ア 患者・障害者のもつ心理社会的問題と背景,c ノーマライゼーションの理念,,,ノーマライゼーションの理念,6
必修の基本的事項,2 社会と歯科医療,ア 患者・障害者のもつ心理社会的問題と背景,d 国際生活機能分類〈ICF〉,,,構造;咀嚼;心身;健康状態;病原体;国際生活機能分類;個人;ICF;水酸化カルシウム;因子;形態;生活;抜髄;認知症;家族;身体;社会的;生活歯髄切断法;病原;介護;転倒;異常;同僚;強打;病歴;機能障害;環境;切断;インプラント;麻酔;支え;間接;能力;でき;職場;自発;障害;構成要素,7
必修の基本的事項,2 社会と歯科医療,ア 患者・障害者のもつ心理社会的問題と背景,e 健康格差、健康の社会的決定要因,,,二次;減少傾向;健康診査;加入;達成;保険料;格差;健康の社会的決定要因;制度;市町村;国民皆保険;保険者;平均寿命;保健;医療保険;健康;日本;目標;教育;審査;行動;変容;推進;リスボン;保険;割合;労働者;日本脳炎;充実;生活習慣;介護保険;被保険者;健康格差;都道府県;新興感染症,8
必修の基本的事項,2 社会と歯科医療,イ 保健・医療・福祉・介護の制度と医療経済,a 歯科医師法、歯科衛生士法、歯科技工士法,,,交付;介護保険法;保健指導;保存;健康保険法;処方せん;医療;医療法;地域保健法;届出;技工;業務;歯科;歯科医師;歯科医師法;歯科技工士;歯科技工士法;歯科衛生士;歯科衛生士法;死体検案書;法律;生活保護法;義務;義務付け;老人福祉法;規定;記載;診療;診療所;診療録;開設,9
必修の基本的事項,2 社会と歯科医療,イ 保健・医療・福祉・介護の制度と医療経済,f 地域包括ケアシステム,,,地域包括支援センター;回復;病院;歯科;施設;介護予防;支援;適正化;事業;住民;機会;地域保健法;保健;保健師;生活支援;法律;健康;市町村保健センター;生活保護法;規定;推進;健康増進法;医療;問題点;サービス;地域包括ケアシステム;根拠法;高齢者;地域;在宅医療;歯科医;教室;保健所;調査;構成要素;相談,10
必修の基本的事項,2 社会と歯科医療,ウ チーム医療,a チーム医療の意義 (多職種連携、医科歯科連携、病診連携を含む),,,提供;標準化;小数点;職種;平均;コスト;先進医療;中央値;チーム医療;医療事故;医療従事者;病診連携;線量;クリニカルパス;作成;連携;多職種連携;目標;放射線;設定;線量計;変更;推進;診療;医療;役割;周術期;平均値;早期発見;尊重;削減;医科歯科連携;occlusal;意思決定;防護,11
必修の基本的事項,2 社会と歯科医療,ウ チーム医療,c チーム医療における歯科の役割 (かかりつけ歯科医 在宅医療、歯科訪問診療),,,病理;歯科;t2;腫脹;自覚症状;染色;精査;訪問;多形腺腫;指摘;かかりつけ歯科医;歯牙腫;病変;希望;嚢胞;組織;強調;診療;腺様嚢胞癌;mri;切除;かかりつけ;生検;在宅医療;歯科医;歯科訪問診療;扁平上皮癌;造影;表皮,12
必修の基本的事項,2 社会と歯科医療,カ 医療事故の防止,c 患者の安全管理(誤飲、誤嚥、誤薬、出血、外傷、感染、被曝、目の保護),,,誤薬;研磨;レジン;清掃;鋳造;誤飲;ラバーダム;アルジネート;インレー;付与;器具;向上;周術期管理;防湿;患者の安全管理;金属冠;誤嚥性肺炎;重合;義歯;着脱;クラウン;ワックス;規格;印象;むせ;嚥下;シリコーンゴム;高齢者;誤嚥;生じ;頭部;投与;築造;防止;齲蝕;訓練,13
必修の基本的事項,2 社会と歯科医療,キ 院内感染対策,a 標準予防策〈standard precautions〉,,,mrsa;standard precautions;t細胞;グラム;スクリーニング;スチールバー;上皮;下顎前突;付着;入院;周術期;咬頭;垂直感染;基づく;嫌気性;寄り;嵌合;必要;扁平;投与;抗体;抗菌薬;接触;斜面;早期接触;桿菌;標準;標準予防策;機器;清拭;真陽;過蓋咬合;重層;開咬;院内感染;陰性;陽性;隣接;骨格,14
必修の基本的事項,2 社会と歯科医療,サ 診療録、診療情報の記録と管理,b SOAP(主観的情報、客観的情報、評価、計画),,,riga;沈下;法則;数値;小数点;四捨五入;歯科;あご;記載;length;入れ歯;2位;該当;fede;事項;by;診療録;実態調査;生活指導;義歯;解答;着脱;問題解決;有する;de;作成;指向;嚢胞;arch;視診;これ;ed;準拠;所見;割合;SOAP;顆路;オーバー;診察;症候群;場合;求め;75;支持;fmia,15
必修の基本的事項,3 予防と健康管理・増進,ウ 予防手段,a フッ化物応用,,,000;ca;dna;hhv;na;ppm;ppmf;rna;アセチルコリン;アセトアミノフェン;アトロピン;イオン;ガッタパーチャポイント;スズ;タンパク質;ハイリスク;フェニトイン;フッ化ナトリウム;フッ化物応用;フッ化物洗口;フッ化物洗口法;プロピトカイン;リライン;レジンコーティング;健康増進法;分泌;判定;化物;吸収線量;唾液;唾液腺;塗布;応用;放射線荷重係数;歯磨剤;水道水;添加;溶液;濃度;生物学的半減期;硫酸アトロピン;等価線量;配合;錠剤;頻度;食塩;高値;齲蝕;齲蝕検知液,16
必修の基本的事項,4 人体の正常構造・機能,ア 全身・口腔の構造と機能,e 器官系［骨格系(関節を含む)、筋系、呼吸器系、循環器系〈脈管系〉、消化器系、造血器系、泌尿器・生殖器系、神経系、内分泌系、感覚器系］,,,セファロ;骨格系;曲線;全般;筋系;泌尿器・生殖器系;ガス;小体;ヘッドギア;心筋梗塞;リップ;マルチブラケット;タングクリブ;呼吸器;過小;リンガルアーチ;造血器系;矯正歯科;斜面;感覚器系;神経系;装置;咳嗽;弧線;呼吸器系;急速;循環器;バンパー;スライディング;老人;拡散;アクチバトール;キャップ;上昇;消化器系;骨格;循環器系;内分泌系;平面角;牽引;チン;クワドヘリックス;一般;バイオネーター;lewy;上板;不整脈,17
必修の基本的事項,5 人体の発生・成長・発達・加齢変化,ウ 口腔・顎顔面の成長・発育,a 歯・歯列・咬合の発育(発育時期、萌出時期・順序、歯の脱落・交換時期、歯齢),,,セファロ;nance;バンド;萌出;タングクリブ;ヘッドギア;歯齢;マルチブラケット;ディスタルシュー;リンガルアーチ;ホールディング;装置;急速;クラウン;ターミナル;streptococcus;撤保;アーチ;嚢胞;アクチバトール;hellman;遠心;適応;iiic;プレーン;シュー;アーチレングスディスクレパンシー;萌出時期・順序;コンケイブタイプ;歯の脱落・交換時期;クワドヘリックス;iva;階段;歯の萌出・数;ループ;回復,18
必修の基本的事項,6 主要な疾患と障害の病因・病態,イ 口腔・顎顔面領域の疾患と障害の概念,a 歯の硬組織疾患,,,tooth wear;インレー;エナメル質;コンポジットレジン;セメント質;一過性;乳歯;側面;冷水;切削;化物;化膿;原因;唾液;器具;圧排;垂直的顎間関係;塗布;小学校;形成;急性;検知;歯の損耗;歯科;歯肉;歯髄;歯髄炎;窩洞;象牙質;軟化;隣接;電気;齲蝕,19
必修の基本的事項,6 主要な疾患と障害の病因・病態,イ 口腔・顎顔面領域の疾患と障害の概念,c 歯周疾患,,,壊死;歯髄炎;急性;化膿;歯科;健康診査;歯肉;口臭;ロス;由来;学校;事業;市町村;地域保健法;健康診断;睡眠;検診;従事;保健;統計;歯周ポケット;潰瘍;根尖性歯周炎;歯肉炎;健康増進法;糖尿病;歯周炎;単純;歯肉増殖症;歯周疾患;リスクファクター;調査;胃潰瘍,20
